bookTitle,254,2276,2766,2977,3363,4017,4385,6251,6323,6543,6563,6575,7158,7286,7346,7915,8067,8245,8681,8936,10447,10819,11601,11676,11993,12538,12824,12982,13082,13273,13552,13850,14422,14521,15408,15418,16106,16634,16795,16916,16966,17950,18067,18401,19085,19664,20115,20201,21014,21252,21576,21659,22625,23288,23768,23872,23902,24194,24921,25409,25601,25981,26516,26535,26544,26583,26593,27617,28204,28360,28523,28591,29259,29855,30276,30487,30511,30533,30711,30735,30972,31315,31391,31556,31826,31846,32195,32440,32721,32773,33974,35050,35836,35857,35859,36606,36609,36836,36907,37567,37712,37950,38023,38273,38781,39281,39467,39616,39646,39773,40889,40943,41084,41841,42914,43246,43806,43842,44595,44728,46398,47316,48494,49109,49460,49889,50225,51094,51350,51386,51450,51883,52199,52584,52614,52853,52917,53174,53628,53729,54218,55187,55490,55492,55548,55734,55892,56271,56399,56447,56856,56959,59172,59971,60244,60277,60337,60707,61619,62272,62891,62895,63394,63714,63938,64436,65258,66680,67840,68555,69042,69078,69232,69355,69405,69697,69808,69971,70052,70415,70594,71712,72352,72992,73394,73651,75591,75860,76151,76223,76352,76499,76626,76818,76942,77809,77940,78553,78783,78834,78973,79186,79441,80538,80683,81045,81492,81560,81977,82407,82831,82893,82926,83637,84024,85426,85526,85656,85701,85757,85993,86202,86243,86641,87141,87143,87555,87746,87974,88283,88677,88693,88733,88937,89602,91203,91342,91832,91931,92547,92652,92810,92979,93047,93085,93363,93629,94242,94347,94853,94923,95193,95316,95359,95903,95932,95991,96054,96448,97874,98391,98741,98758,100459,100644,100846,100906,101209,101851,101876,102275,102647,102702,102967,104399,104429,104636,104665,105374,105517,105979,106225,106816,107021,107301,107453,107784,107951,108005,108285,108352,109461,109574,109955,110029,110483,110912,110934,110973,111174,111947,112001,112026,112881,113270,113519,113817,113904,113983,114178,114368,114414,114444,114868,114988,115002,115003,115120,115490,116599,117251,117539,119575,120093,120548,122429,122793,122881,123790,123883,123981,124078,124079,124363,124487,124942,125039,125519,125692,125774,126492,126604,126736,127200,127233,127359,127429,127914,128696,128835,129008,129074,129358,129465,129716,129851,130474,130554,130571,131027,131046,131402,131837,131855,132083,133571,133689,133747,133868,135045,135149,135265,135458,135831,136010,136139,136205,136252,136382,137589,137688,138097,138441,138578,138844,139467,139742,140000,140036,140358,141493,141710,142093,142524,143175,143253,143415,143792,144531,144555,145449,145451,145619,145641,146113,146230,146348,147141,147451,147847,147965,148199,148258,148744,149069,149907,149908,149934,150124,150498,150968,150979,151790,151806,152186,152249,153563,153662,153718,154992,155014,155147,155219,155495,156150,156269,156467,157273,157811,158295,159033,159376,159858,160032,160819,161752,162052,162639,162738,163804,163973,164027,164323,164465,164533,164675,164828,165232,165308,165319,166123,166596,167349,167471,167800,168047,168064,168144,168245,169233,169663,169699,170229,170513,170518,170575,170634,170742,170947,171118,172030,172512,172742,173291,173415,173632,173684,173835,174216,174304,174791,175003,175886,177072,177090,177374,177432,177458,177690,178181,178199,178667,178950,179733,179744,179772,179978,180348,180586,180651,180917,180957,181176,181687,182085,182086,182987,182993,183196,183995,184299,185233,185384,186570,187145,187256,187517,188010,189334,189516,189835,189973,190459,190708,190807,190925,191187,192093,193499,193560,194600,194669,195694,196047,196077,196160,196457,196502,197364,197659,197775,198621,198699,198711,199416,199772,200226,200674,201017,201290,201447,201526,201674,201768,201783,203240,203799,203968,204167,204522,204591,204864,205473,205735,205980,206074,206534,206567,206979,207246,207349,207499,207782,208141,208147,208406,208410,208568,208671,208829,209373,209516,209756,209875,210035,210485,210792,210959,211426,211430,211847,211919,212645,212898,212923,212965,213150,213350,214272,214786,216012,216444,216466,216683,217106,217121,217375,217740,218552,218608,219546,220278,221445,222050,222204,222296,222941,223087,223154,224138,224349,224430,224435,224646,224764,225087,225199,225232,225763,225810,225986,225989,226545,226879,226965,227447,227520,227705,228681,228764,228998,229011,229313,229329,229551,229741,230249,230496,230522,230708,231210,231237,231827,231857,232131,232945,233911,233917,234359,234623,234721,234828,235105,235282,235392,235842,235935,236058,236172,236283,236340,236757,236948,236959,238120,238526,238541,238545,238557,238699,238781,238961,239584,239594,240144,240567,240568,241198,241548,241666,241980,242006,242083,242106,242299,242409,242646,242824,243077,244349,244688,244736,245371,245410,245645,245827,245963,246156,246311,246513,246655,246671,247429,247447,247752,248718,249111,249628,249862,249894,250184,250405,250764,250962,251394,251422,251613,251843,251844,252071,252222,252695,252820,252848,253556,253821,254206,254465,254899,254971,255092,255218,255489,256167,256402,256407,257028,257204,258152,258185,258534,258938,259260,259380,259629,260897,261105,261829,262399,262998,263163,263460,263877,264031,264082,264317,264321,264637,265115,265313,265595,265889,266056,266226,266753,266865,267635,268030,268032,268110,268330,268932,269566,269719,269890,270713,270820,271195,271284,271448,271705,273979,274004,274061,274301,274308,275970,277427,277639,278418
1984,9.0,,,,,,,,,,,,,,8.0,,,,,,,,,3.3333333333333335,,0.0,,,,,,,,,9.0,,,,8.0,,,,,,,,,,,,,,,,0.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,0.0,,,,,,,0.0,,,,,,,,,,9.0,,,,,,,,,0.0,,,,,,,,,10.0,,,,,,,,0.0,,,,9.0,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,5.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,10.0,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,9.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,8.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,8.0,,,,,,,7.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,10.0,,,,,,0.0,,,
1st to Die: A Novel,,,,,,,,,,9.0,,,0.0,,,,,,,0.0,,,,9.0,,,,,,,,,,0.0,,,,,9.0,,,,,10.0,,,0.0,,0.0,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,8.0,,,,,,0.0,0.0,,,,,,,,0.0,0.0,0.0,,,7.0,,,,,,,,0.0,,,,,,,0.0,,,,,,4.5,,,,,,,,,,,0.0,,,,10.0,,,,,0.0,,0.0,,,,10.0,5.0,0.0,0.0,0.0,,,,,,,0.0,,,,,,,0.0,,,0.0,,,,,,0.0,,,,0.0,0.0,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,0.0,8.0,0.0,,,,0.0,,,,,,,,,9.0,,,0.0,,,,,,,0.0,,,,,,,,0.0,,,,,0.0,,0.0,,,,,0.0,8.0,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,0.0,,,10.0,,,,,0.0,,,,,,,,0.0,,,,,,,4.5,,0.0,,,,,,,,,,,,,0.0,,0.0,,,,,0.0,,,,0.0,,,,,,0.0,,,,,,0.0,,,10.0,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,0.0,,0.0,,8.0,,0.0,,,,,,,0.0,,5.0,,0.0,,,9.5,,,,,,,,0.0,,,,,,,5.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,0.0,0.0,0.0,,,,,,,,0.0,,,,,,,,,,0.0,,0.0,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,7.0,,,7.0,,,,,,,,,7.0,,,,,,,,,,8.0,,0.0,,,,0.0,,,,8.0,,,,,,8.0,,,,,,0.0,0.0,,0.0,,,,,,,,,,5.0,,0.0,0.0,,,0.0,,,0.0,,,,,,,7.0,,0.0,,,,0.0,,,,,,0.0,,,0.0,,,0.0,,7.0,,0.0,,,,,,,,,,,,,,8.0,,,0.0,,,,,,,,,6.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,4.0,7.0,,0.0,,,,,,,,10.0,,,,,,,,0.0,0.0,0.0,,,,,4.0,8.0,,,,,,0.0,,8.0,8.0,0.0,,3.0,,0.0,8.0,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,10.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,0.0,,9.0,6.0,,,,,,,8.0,0.0,,,0.0,0.0,,,,,,,,,,7.0,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
2nd Chance,,10.0,,,,,,,,0.0,,,,,,,,,,,,,0.0,7.5,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,5.0,,,,,,,,,,,,,0.0,10.0,,,,0.0,,,,,,0.0,,,7.5,,,,,,,,,,,0.0,,,,,,,,,,9.0,,,,,,,,0.0,,,,,,,,,,,,,,8.0,,,,,0.0,0.0,,,,,,0.0,,,0.0,,0.0,,,,,0.0,,,,,,,,,,,0.0,,0.0,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,9.0,,,,0.0,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,7.0,,,,,,,,,,,,,7.0,0.0,,,,,,,,,,,8.0,,,,,,,,,,,,,0.0,,9.0,,,4.0,,,0.0,,,,,,,,,,,,,8.0,,2.5,,,,,,,,,,,,,,,,,,,,,,7.0,,,10.0,0.0,,,0.0,,,,0.0,,,,,6.0,,,,,,0.0,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,7.0,,,0.0,,,,,,,,,,0.0,,0.0,,0.0,,,,,,,,,,0.0,,,,0.0,,,,0.0,,,,,,,,,0.0,,9.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,9.0,,,,,,,,,,,0.0,,,,,0.0,0.0,,0.0,,,,,,,,,,,,0.0,,,,0.0,,7.0,,,,,,,,0.0,9.0,,,,,0.0,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,7.0,,0.0,,0.0,,,,,,,,,,,,,10.0,,,8.0,0.0,,,,,,,,0.0,,10.0,,,,,,,0.0,,,,,,,,0.0,,,,,0.0,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,0.0,,0.0,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,0.0,0.0,,,,0.0,,,,,,,,,,7.5,0.0,,,,,,,,,,0.0,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,0.0,
4 Blondes,,,,,,,,0.0,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,7.0,,,,,,,,,0.0,,,,,,,,,,,7.0,,,0.0,,,,,7.0,,,,,,0.0,,0.0,,,,,,,,,0.0,,,,,,,,0.0,,0.0,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,6.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,0.0,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,,,,,,7.0,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,5.0,,,,,,,,5.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,5.0,,0.0,,,,0.0,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,
A Bend in the Road,0.0,,7.0,,,,,,,,,1.0,,,,,,,,,0.0,,0.0,6.5,,,,,,,0.0,0.0,0.0,5.0,,,,,8.0,,,,,,,,,,,,,,,,0.0,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,0.0,0.0,,,,,,,,,,,,,,,8.0,0.0,,,,0.0,,8.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,0.0,,0.0,,,,,,,,,,,,,5.0,,0.0,,,,,,0.0,,,,7.0,,,,,0.0,0.0,,,,,0.0,,,,,,,,0.0,,7.0,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,7.0,,0.0,,,,,,,,,,,,,,0.0,,10.0,8.0,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,0.0,0.0,10.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,0.0,,,,0.0,0.0,,,,9.0,,0.0,,,0.0,,,,,,,,,,,,,,,,0.0,,,,10.0,,,,,,0.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,0.0,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,5.0,,0.0,,,,,0.0,,,,7.0,,,0.0,0.0,,,,0.0,,,,,,,,,,,,,,,7.0,7.0,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,,0.0,,,,,,,,,,0.0,,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,0.0,,,,,,,,,0.0,,,,,0.0,,,,0.0,,,,,,,,
A Case of Need,,,0.0,,,,,0.0,,,,,,,,,,,,0.0,,,,9.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,0.0,,,,7.0,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,0.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,0.0,,,,,0.0,,,0.0,,5.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,0.0,,,,,,,7.0,,0.0,,,,0.0,,0.0,,0.0,,,,0.0,,,,,,,0.0,,0.0,,,,0.0,,,,,0.0,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,6.0,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,0.0,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,7.0,,,,0.0
"A Child Called \It\"": One Child's Courage to Survive""",,,,,,,,,,,,,,,0.0,,,,,,,,0.0,0.0,,0.0,,,,,,,,,,,,,10.0,,,0.0,,,,,,,,,,,,,,8.0,,0.0,,,,,,,,,,,,,,,,,,,,,8.0,,,0.0,,8.0,,,,,,,0.0,,,0.0,0.0,,,,,0.0,,,,,,,,,0.0,,,0.0,,,,,,,,,5.0,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,0.0,,,,0.0,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,10.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,8.0,9.0,,6.0,,,,,,,10.0,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,8.0,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,0.0,0.0,,8.0,,,,,,,,9.0,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,7.0,,0.0,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,9.0,,,,,,,,4.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,8.0,,8.0,,,,0.0,,,,,,,,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
A Civil Action,,,,,0.0,,,,,,,0.0,,,0.0,,,0.0,,,,,,3.5,,,,,,,0.0,0.0,,,,,,8.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,0.0,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,0.0,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,0.0,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,7.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
A Day Late and a Dollar Short,,,,,,,,,,,,,,,,,,,0.0,,,,,8.5,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,5.0,,,0.0,7.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,9.0,,,,,,,,,,0.0,,0.0,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,
